,Station,Air Quality,O3 Quality,O3 µg/m3,NO2 Quality,NO2 µg/m3,PM10 Quality,PM10 µg/m3,Date Time,Generated Date,Generated Time,Week Day
171,Ciutadella,Good,Good,34.0,Good,31.0,,,1541102702,01/11/18,21:00,Thursday
172,Vall Hebron,Good,Good,2.0,Good,73.0,,,1541102702,01/11/18,21:00,Thursday
173,Palau Reial,Good,Good,23.0,Good,31.0,Good,8.0,1541102702,01/11/18,21:00,Thursday
174,Poblenou,Good,,,Good,56.0,Good,7.0,1541102702,01/11/18,21:00,Thursday
175,Observ Fabra,Good,Good,69.0,Good,13.0,Good,6.0,1541102702,01/11/18,21:00,Thursday
176,Sants,Good,,,Good,73.0,,,1541106303,01/11/18,22:00,Thursday
177,Eixample,Good,,,,,Good,12.0,1541106303,01/11/18,22:00,Thursday
178,Gràcia,Good,Good,5.0,Good,70.0,,,1541106303,01/11/18,22:00,Thursday
179,Ciutadella,Good,Good,3.0,Good,69.0,,,1541106303,01/11/18,22:00,Thursday
180,Vall Hebron,Good,Good,7.0,Good,66.0,,,1541106303,01/11/18,22:00,Thursday
181,Palau Reial,Good,Good,18.0,Good,38.0,Good,9.0,1541106303,01/11/18,22:00,Thursday
182,Poblenou,Good,,,Good,73.0,Good,7.0,1541106303,01/11/18,22:00,Thursday
183,Observ Fabra,Good,Good,77.0,Good,4.0,Good,6.0,1541106303,01/11/18,22:00,Thursday
184,Sants,,,,,,,,1541109903,01/11/18,23:00,Thursday
185,Eixample,Good,,,,,Good,13.0,1541109903,01/11/18,23:00,Thursday
186,Gràcia,,,,,,,,1541109903,01/11/18,23:00,Thursday
187,Ciutadella,,,,,,,,1541109903,01/11/18,23:00,Thursday
188,Vall Hebron,,,,,,,,1541109903,01/11/18,23:00,Thursday
189,Palau Reial,Good,,,,,Good,9.0,1541109903,01/11/18,23:00,Thursday
190,Poblenou,Good,,,,,Good,7.0,1541109903,01/11/18,23:00,Thursday
191,Observ Fabra,Good,Good,61.0,Good,13.0,Good,6.0,1541109903,01/11/18,23:00,Thursday
192,Sants,Good,,,Good,41.0,,,1541113503,02/11/18,0:00,Friday
193,Eixample,Good,Good,13.0,Good,52.0,Good,13.0,1541113503,02/11/18,0:00,Friday
194,Gràcia,Good,Good,19.0,Good,42.0,,,1541113503,02/11/18,0:00,Friday
195,Ciutadella,Good,Good,14.0,Good,50.0,,,1541113503,02/11/18,0:00,Friday
196,Vall Hebron,Good,Good,30.0,Good,29.0,,,1541113503,02/11/18,0:00,Friday
197,Palau Reial,Good,Good,31.0,Good,19.0,Good,9.0,1541113503,02/11/18,0:00,Friday
198,Poblenou,Good,,,Good,53.0,Good,8.0,1541113503,02/11/18,0:00,Friday
199,Observ Fabra,Good,Good,66.0,Good,6.0,Good,7.0,1541113503,02/11/18,0:00,Friday
200,Sants,Good,,,Good,41.0,,,1541117103,02/11/18,1:00,Friday
201,Eixample,Good,Good,4.0,Good,57.0,Good,13.0,1541117103,02/11/18,1:00,Friday
202,Gràcia,Good,Good,20.0,Good,38.0,,,1541117103,02/11/18,1:00,Friday
203,Ciutadella,Good,Good,11.0,Good,48.0,,,1541117103,02/11/18,1:00,Friday
204,Vall Hebron,Good,Good,31.0,Good,22.0,,,1541117103,02/11/18,1:00,Friday
205,Palau Reial,Good,Good,22.0,Good,25.0,Good,9.0,1541117103,02/11/18,1:00,Friday
206,Poblenou,Good,,,Good,47.0,Good,8.0,1541117103,02/11/18,1:00,Friday
207,Observ Fabra,Good,Good,72.0,Good,3.0,Good,7.0,1541117103,02/11/18,1:00,Friday
208,Sants,,,,,,,,1541120703,02/11/18,2:00,Friday
209,Eixample,Good,Good,4.0,Good,65.0,Good,14.0,1541120703,02/11/18,2:00,Friday
210,Gràcia,Good,Good,28.0,Good,29.0,,,1541120703,02/11/18,2:00,Friday
211,Ciutadella,Good,Good,16.0,Good,40.0,,,1541120703,02/11/18,2:00,Friday
212,Vall Hebron,Good,Good,40.0,Good,15.0,,,1541120703,02/11/18,2:00,Friday
213,Palau Reial,Good,Good,47.0,Good,4.0,Good,9.0,1541120703,02/11/18,2:00,Friday
214,Poblenou,Good,,,Good,45.0,Good,9.0,1541120703,02/11/18,2:00,Friday
215,Observ Fabra,Good,Good,70.0,Good,3.0,Good,7.0,1541120703,02/11/18,2:00,Friday
216,Sants,,,,,,,,1541124303,02/11/18,3:00,Friday
217,Eixample,Good,Good,10.0,Good,48.0,Good,14.0,1541124303,02/11/18,3:00,Friday
218,Gràcia,Good,Good,32.0,Good,24.0,,,1541124303,02/11/18,3:00,Friday
219,Ciutadella,Good,Good,27.0,Good,24.0,,,1541124303,02/11/18,3:00,Friday
220,Vall Hebron,Good,Good,47.0,Good,9.0,,,1541124303,02/11/18,3:00,Friday
221,Palau Reial,Good,Good,50.0,Good,2.0,Good,9.0,1541124303,02/11/18,3:00,Friday
222,Poblenou,Good,,,Good,41.0,Good,9.0,1541124303,02/11/18,3:00,Friday
223,Observ Fabra,Good,Good,72.0,Good,2.0,Good,7.0,1541124303,02/11/18,3:00,Friday
224,Sants,,,,,,,,1541127903,02/11/18,4:00,Friday
225,Eixample,Good,Good,3.0,Good,52.0,Good,14.0,1541127903,02/11/18,4:00,Friday
226,Gràcia,Good,Good,28.0,Good,25.0,,,1541127903,02/11/18,4:00,Friday
227,Ciutadella,Good,Good,28.0,Good,20.0,,,1541127903,02/11/18,4:00,Friday
228,Vall Hebron,Good,Good,41.0,Good,14.0,,,1541127903,02/11/18,4:00,Friday
229,Palau Reial,Good,Good,43.0,Good,6.0,Good,9.0,1541127903,02/11/18,4:00,Friday
230,Poblenou,Good,,,Good,33.0,Good,9.0,1541127903,02/11/18,4:00,Friday
231,Observ Fabra,Good,Good,72.0,Good,2.0,Good,7.0,1541127903,02/11/18,4:00,Friday
232,Sants,,,,,,,,1541131503,02/11/18,5:00,Friday
233,Eixample,Good,Good,2.0,Good,52.0,Good,15.0,1541131503,02/11/18,5:00,Friday
234,Gràcia,Good,Good,20.0,Good,33.0,,,1541131503,02/11/18,5:00,Friday
235,Ciutadella,Good,Good,14.0,Good,28.0,,,1541131503,02/11/18,5:00,Friday
236,Vall Hebron,Good,Good,26.0,Good,31.0,,,1541131503,02/11/18,5:00,Friday
237,Palau Reial,Good,Good,30.0,Good,11.0,Good,9.0,1541131503,02/11/18,5:00,Friday
238,Poblenou,Good,,,Good,26.0,Good,10.0,1541131503,02/11/18,5:00,Friday
239,Observ Fabra,Good,Good,77.0,Good,1.0,Good,7.0,1541131503,02/11/18,5:00,Friday
240,Sants,,,,,,,,1541135103,02/11/18,6:00,Friday
241,Eixample,Good,Good,2.0,Good,48.0,Good,15.0,1541135103,02/11/18,6:00,Friday
242,Gràcia,Good,Good,14.0,Good,37.0,,,1541135103,02/11/18,6:00,Friday
243,Ciutadella,Good,Good,8.0,Good,32.0,,,1541135103,02/11/18,6:00,Friday
244,Vall Hebron,Good,Good,12.0,Good,53.0,,,1541135103,02/11/18,6:00,Friday
245,Palau Reial,Good,Good,30.0,Good,10.0,Good,9.0,1541135103,02/11/18,6:00,Friday
246,Poblenou,Good,,,Good,27.0,Good,10.0,1541135103,02/11/18,6:00,Friday
247,Observ Fabra,Good,Good,76.0,Good,1.0,Good,7.0,1541135103,02/11/18,6:00,Friday
248,Sants,,,,,,,,1541138702,02/11/18,7:00,Friday
249,Eixample,Good,Good,23.0,Good,30.0,Good,15.0,1541138702,02/11/18,7:00,Friday
250,Gràcia,Good,Good,16.0,Good,40.0,,,1541138702,02/11/18,7:00,Friday
251,Ciutadella,Good,Good,8.0,Good,34.0,,,1541138702,02/11/18,7:00,Friday
252,Vall Hebron,Good,Good,14.0,Good,39.0,,,1541138702,02/11/18,7:00,Friday
253,Palau Reial,Good,Good,30.0,Good,11.0,Good,9.0,1541138702,02/11/18,7:00,Friday
254,Poblenou,Good,,,Good,29.0,Good,10.0,1541138702,02/11/18,7:00,Friday
255,Observ Fabra,Good,Good,75.0,Good,1.0,Good,7.0,1541138702,02/11/18,7:00,Friday
256,Sants,Good,,,Good,38.0,,,1541142303,02/11/18,8:00,Friday
257,Eixample,Good,Good,2.0,Good,52.0,Good,15.0,1541142303,02/11/18,8:00,Friday
258,Gràcia,Good,Good,2.0,Good,64.0,,,1541142303,02/11/18,8:00,Friday
259,Ciutadella,Good,Good,3.0,Good,46.0,,,1541142303,02/11/18,8:00,Friday
260,Vall Hebron,Good,Good,6.0,Good,53.0,,,1541142303,02/11/18,8:00,Friday
261,Palau Reial,Good,Good,28.0,Good,17.0,Good,9.0,1541142303,02/11/18,8:00,Friday
262,Poblenou,Good,,,Good,35.0,Good,10.0,1541142303,02/11/18,8:00,Friday
